total page fault: 31885
PF address            count
2184e000                 12
218cd000                 12
2189a000                 12
21953000                 12
218af000                 12
2186a000                 12
2186b000                 12
219ff000                 12
102947000                12
21a00000                 12
21851000                 12
21855000                 12
21913000                 12
21914000                 12
21a06000                 12
21934000                 12
21870000                 12
2131c000                 12
2132e000                 12
13e2e8000                12
218e2000                 12
21416000                 11
21413000                 11
21419000                 11
2141a000                 11
13fef1000                11
219c8000                 11
219c5000                 11
219c4000                 11
219bf000                 11
219bc000                 11
219bd000                 11
2147d000                 11
21477000                 11
21478000                 11
2147f000                 11
213e4000                 11
213e0000                 11
2142d000                 11
21339000                 11
215b7000                 11
212c4000                 11
212c5000                 11
2151c000                 11
2151d000                 11
21479000                 11
2145f000                 11
2143f000                 11
11287d000                11
10a95e000                11
106417000                11
10c6fd000                11
106496000                11
106424000                11
106482000                11
106497000                11
1396e3000                11
13955b000                11
106254000                11
106c47000                11
107093000                11
106451000                11
106452000                11
106fd7000                11
106fd6000                11
10707c000                11
106fd9000                11
1395c4000                11
216bd000                 11
210e8000                 11
2193f000                 11
21909000                 11
21908000                 11
21938000                 11
21906000                 11
21905000                 11
21963000                 11
2195b000                 11
21950000                 11
21941000                 11
21939000                 11
21920000                 11
21937000                 11
21960000                 11
21902000                 11
21988000                 11
21987000                 11
21903000                 11
2190e000                 11
2190b000                 11
218fb000                 11
2190d000                 11
2190c000                 11
21869000                 11
218cf000                 11
21996000                 11
21866000                 11
21853000                 11
218e0000                 11
103511000                11
21854000                 11
21598000                 11
210e6000                 11
21033000                 11
210e4000                 11
21200000                 11
21112000                 11
2112f000                 11
21283000                 11
21496000                 11
21397000                 11
210e5000                 11
21312000                 11
215a8000                 11
211af000                 11
216ec000                 11
211a7000                 11
210eb000                 11
2127f000                 11
21276000                 11
21274000                 11
21273000                 11
21284000                 11
21271000                 11
2127e000                 11
1060fb000                11
106036000                11
106cdc000                11
106967000                11
107070000                11
2118f000                 11
213f2000                 11
213f8000                 11
21129000                 11
21285000                 11
21275000                 11
21498000                 11
13e392000                11
10707a000                11
106f10000                11
112938000                11
112c2f000                11
112901000                11
112c30000                11
112c4f000                11
112c6e000                11
112c51000                11
112c6b000                11
112c66000                11
112935000                11
112919000                11
112950000                11
112951000                11
112968000                11
112915000                11
11293f000                11
21910000                 11
106d67000                11
210fa000                 11
2119d000                 11
21537000                 11
211c7000                 11
21257000                 11
108df8000                10
108ddc000                10
107b2f000                10
107b35000                10
108083000                10
107b91000                10
10c788000                10
1064c6000                10
10c789000                10
214cf000                 10
21a07000                 10
21915000                 10
21954000                 10
21952000                 10
2136e000                 10
2136d000                 10
21363000                 10
13e22f000                10
210e7000                 10
2149d000                 10
2113b000                 10
211c2000                 10
21697000                 10
213b6000                 10
212cd000                 10
2107b000                 10
21110000                 10
215ab000                 10
2103a000                 10
216eb000                 10
211b0000                 10
2111c000                 10
212fa000                 10
106ae6000                10
21569000                 10
21362000                 10
21290000                 10
106b81000                10
106bfc000                10
213fd000                 10
213f1000                 10
2137e000                 10
21568000                 10
21696000                 10
2168c000                 10
107078000                10
21361000                 10
212d8000                 10
212c8000                 10
212c6000                 10
2141e000                 10
213e6000                 10
212db000                 10
2132b000                 10
21279000                 10
106234000                10
13e3ec000                10
13e398000                10
13e396000                10
13e3e1000                10
13e3dd000                10
13e391000                10
13e393000                10
13e3df000                10
13e229000                10
139564000                10
106c85000                10
106e87000                10
1060ed000                10
21190000                 10
21192000                 10
139554000                10
13e2f3000                10
106b99000                10
106dc6000                10
106dc7000                10
106dc4000                10
106dc5000                10
10695f000                10
106525000                10
106526000                10
1394da000                10
213dc000                 10
11298f000                10
112922000                10
112948000                10
1128e3000                10
112981000                10
112990000                10
11297f000                10
112980000                10
11295e000                10
11295d000                10
11294a000                10
11292e000                10
112924000                10
11295f000                10
11292c000                10
112929000                10
11291d000                10
11291e000                10
112999000                10
112964000                10
112963000                10
11299a000                10
11293a000                10
112993000                10
112994000                10
112975000                10
1395f9000                10
1070c1000                10
112939000                10
1129ee000                10
106c44000                10
1128e8000                10
1129ad000                10
112986000                10
106521000                10
10644b000                10
210ff000                 10
10acfc000                10
10aeba000                10
10ae89000                10
10b86f000                10
10a7cb000                10
109c61000                10
21959000                 10
21878000                 10
218e6000                 10
218e3000                 10
218e4000                 10
106411000                 9
10646b000                 9
106fcd000                 9
106428000                 9
10646c000                 9
10c683000                 9
21513000                  9
21935000                  9
214ce000                  9
21916000                  9
21933000                  9
2193b000                  9
21901000                  9
21931000                  9
10daf5000                 9
10daf2000                 9
10db95000                 9
21197000                  9
10dc07000                 9
10dc08000                 9
10dbfa000                 9
10d7b1000                 9
10db93000                 9
10db94000                 9
10dc0a000                 9
10dbe1000                 9
10daf9000                 9
212ea000                  9
212e7000                  9
212e9000                  9
212d1000                  9
212d0000                  9
21301000                  9
10daf7000                 9
10dbeb000                 9
10e212000                 9
10dc11000                 9
10dc06000                 9
10db91000                 9
10db8f000                 9
10db8e000                 9
1179b2000                 9
